EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:03:51	4	0.0000	1.5140117117904883	0.39541536569595337	0.2703	0.2811	0.2756	0.2092
2	11:09:03	4	0.0000	0.5893294777324306	0.21248766779899597	0.6152	0.6427	0.6287	0.5793
3	11:14:17	4	0.0000	0.4543963980726534	0.12268802523612976	0.758	0.7754	0.7666	0.7282
4	11:19:22	4	0.0000	0.383173741243514	0.09294919669628143	0.8144	0.8294	0.8218	0.7884
5	11:24:35	4	0.0000	0.34390441882732276	0.07780350744724274	0.8467	0.8623	0.8544	0.8207
6	11:29:45	4	0.0000	0.3242625428018946	0.07664824277162552	0.857	0.8794	0.8681	0.8362
7	11:34:52	4	0.0000	0.3089588360968104	0.07957064360380173	0.8746	0.8852	0.8798	0.8539
8	11:40:00	4	0.0000	0.29880791772793436	0.08319947868585587	0.8838	0.8936	0.8886	0.8645
9	11:45:11	4	0.0000	0.29070494193041435	0.08753596246242523	0.8885	0.8966	0.8925	0.8672
10	11:50:20	4	0.0000	0.28793723371778696	0.0951908677816391	0.8924	0.9026	0.8975	0.8756
11	11:55:28	4	0.0000	0.28186820140765745	0.09794291108846664	0.8945	0.903	0.8987	0.8753
12	12:00:38	4	0.0000	0.2771734622233974	0.1038130521774292	0.8954	0.9026	0.899	0.8747
13	12:05:48	4	0.0000	0.27863080576894356	0.1097509041428566	0.8921	0.9019	0.897	0.8724
14	12:10:55	4	0.0000	0.27091319817166176	0.11102613806724548	0.899	0.906	0.9025	0.8791
15	12:15:59	4	0.0000	0.26961814141955265	0.11549045145511627	0.8964	0.9063	0.9013	0.878
16	12:21:08	4	0.0000	0.2683394825938648	0.1195102408528328	0.9009	0.9066	0.9038	0.8798
17	12:25:53	4	0.0000	0.26666773456016896	0.12212599813938141	0.898	0.9077	0.9028	0.8779
18	12:30:53	4	0.0000	0.2618419462023376	0.12082802504301071	0.9012	0.9097	0.9054	0.8833
19	12:35:50	4	0.0000	0.25854369896885193	0.1308380365371704	0.9054	0.9097	0.9075	0.8841
20	12:40:54	4	0.0000	0.26041151204724683	0.12686988711357117	0.9063	0.9124	0.9093	0.8888
21	12:46:02	4	0.0000	0.2601048004012307	0.13193324208259583	0.9053	0.9117	0.9085	0.8875
22	12:51:11	4	0.0000	0.25881108211640547	0.13505470752716064	0.9064	0.914	0.9102	0.8887
23	12:56:24	4	0.0000	0.25511356971769794	0.13648150861263275	0.9071	0.912	0.9096	0.8882
24	13:01:35	4	0.0000	0.2540625410010721	0.14177805185317993	0.906	0.913	0.9095	0.8883
25	13:06:50	4	0.0000	0.2551960624721088	0.13624118268489838	0.9077	0.915	0.9114	0.8897
26	13:12:00	4	0.0000	0.2532289703916066	0.13969860970973969	0.905	0.912	0.9085	0.8879
27	13:17:05	4	0.0000	0.25445945436315515	0.14068366587162018	0.9067	0.9134	0.91	0.8898
28	13:22:02	4	0.0000	0.254007168158342	0.14019034802913666	0.9064	0.9137	0.91	0.8892
29	13:27:09	4	0.0000	0.2525066286929624	0.14010226726531982	0.9067	0.9134	0.91	0.8886
30	13:32:09	4	0.0000	0.25736881386629656	0.14083129167556763	0.9068	0.9144	0.9106	0.8896
